order_id,restaurant_id,restaurant_type,restaurant_size,order_timestamp,for_timestamp,rider_arrival_timestamp,true_kpt_minutes,recorded_kpt_minutes,concurrent_orders,kitchen_load_score,mx_response_latency_sec,rejection_flag,is_peak_hour,is_contaminated,for_rider_delta_seconds,is_rider_influenced
ORD_00003,REST_038,cloud_kitchen,large,2024-04-12 11:14:00,2024-04-12 11:37:36,2024-04-12 11:42:36,24.6,23.6,8,0.4,4.36,0,0,0,-300.0,0
ORD_00005,REST_030,cloud_kitchen,medium,2024-05-15 08:35:00,2024-05-15 09:00:24,2024-05-15 09:05:24,24.4,25.4,4,0.2,3.66,0,0,0,-300.0,0
ORD_00007,REST_017,fast_food,large,2024-05-08 05:32:00,2024-05-08 05:50:06,2024-05-08 05:54:06,18.1,18.1,8,0.4,2.98,0,0,0,-240.0,0
ORD_00008,REST_010,fast_food,large,2024-04-05 05:34:00,2024-04-05 06:03:36,2024-04-05 05:58:36,27.6,29.6,10,0.5,6.37,0,0,0,300.0,0
ORD_00011,REST_011,cloud_kitchen,medium,2024-03-08 16:55:00,2024-03-08 17:18:54,2024-03-08 17:22:54,23.9,23.9,8,0.4,10.06,0,0,0,-240.0,0
ORD_00012,REST_046,fast_food,small,2024-03-20 12:42:00,2024-03-20 13:04:24,2024-03-20 13:06:24,22.4,22.4,1,0.25,2.12,0,1,0,-120.0,0
ORD_00014,REST_004,cloud_kitchen,large,2024-02-28 02:57:00,2024-02-28 03:25:24,2024-02-28 03:23:24,27.4,28.4,4,0.2,4.75,1,0,0,120.0,0
ORD_00018,REST_009,cloud_kitchen,small,2024-04-18 05:17:00,2024-04-18 05:34:30,2024-04-18 05:39:30,18.5,17.5,1,0.05,3.93,0,0,0,-300.0,0
ORD_00020,REST_026,fast_food,medium,2024-01-16 05:24:00,2024-01-16 05:55:06,2024-01-16 05:53:06,29.1,31.1,6,0.3,4.59,1,0,0,120.0,0
ORD_00021,REST_019,fast_food,small,2024-04-18 22:46:00,2024-04-18 22:58:12,2024-04-18 23:00:12,12.2,12.2,1,0.05,3.97,0,0,0,-120.0,0
ORD_00022,REST_013,cloud_kitchen,large,2024-03-16 06:03:00,2024-03-16 06:28:24,2024-03-16 06:26:24,26.4,25.4,7,0.35,5.26,0,0,0,120.0,0
ORD_00026,REST_014,fast_food,medium,2024-06-20 22:20:00,2024-06-20 22:35:42,2024-06-20 22:33:42,14.7,15.7,2,0.1,1.17,0,0,0,120.0,0
ORD_00032,REST_006,fast_food,large,2024-06-11 13:53:00,2024-06-11 14:31:12,2024-06-11 14:33:12,37.2,38.2,20,1.0,9.1,0,1,0,-120.0,0
