order_id,restaurant_id,restaurant_type,restaurant_size,order_timestamp,for_timestamp,rider_arrival_timestamp,true_kpt_minutes,recorded_kpt_minutes,concurrent_orders,kitchen_load_score,mx_response_latency_sec,rejection_flag,is_peak_hour,is_contaminated
ORD_00000,REST_041,casual_dining,large,2024-06-25 17:14:00,2024-06-25 17:50:30,2024-06-25 17:51:30,35.5,36.5,12,0.6,5.65,0,0,0
ORD_00001,REST_026,fast_food,medium,2024-03-09 02:13:00,2024-03-09 02:30:23,2024-03-09 02:29:42,14.7,21.7,4,0.2,3.13,0,0,1
ORD_00002,REST_042,fast_food,large,2024-04-27 04:16:00,2024-04-27 04:41:49,2024-04-27 04:41:12,24.2,31.7,7,0.35,0.83,0,0,1
ORD_00003,REST_038,cloud_kitchen,large,2024-04-12 11:14:00,2024-04-12 11:37:36,2024-04-12 11:42:36,24.6,23.6,8,0.4,4.36,0,0,0
ORD_00004,REST_008,fast_food,medium,2024-02-09 20:10:00,2024-02-09 20:37:48,2024-02-09 20:37:24,25.4,35.5,8,0.6,5.1,0,1,1
ORD_00005,REST_030,cloud_kitchen,medium,2024-05-15 08:35:00,2024-05-15 09:00:24,2024-05-15 09:05:24,24.4,25.4,4,0.2,3.66,0,0,0
ORD_00006,REST_050,casual_dining,medium,2024-06-13 10:07:00,2024-06-13 10:37:16,2024-06-13 10:36:30,26.5,41.2,9,0.45,3.74,0,0,1
ORD_00007,REST_017,fast_food,large,2024-05-08 05:32:00,2024-05-08 05:50:06,2024-05-08 05:54:06,18.1,18.1,8,0.4,2.98,0,0,0
ORD_00008,REST_010,fast_food,large,2024-04-05 05:34:00,2024-04-05 06:03:36,2024-04-05 05:58:36,27.6,29.6,10,0.5,6.37,0,0,0
ORD_00009,REST_002,fast_food,medium,2024-01-29 11:56:00,2024-01-29 12:17:38,2024-01-29 12:16:42,20.7,27.5,4,0.2,4.5,0,0,1
ORD_00010,REST_006,fast_food,large,2024-01-22 23:31:00,2024-01-22 23:46:18,2024-01-22 23:45:48,16.8,21.2,8,0.4,3.34,0,0,1
ORD_00011,REST_011,cloud_kitchen,medium,2024-03-08 16:55:00,2024-03-08 17:18:54,2024-03-08 17:22:54,23.9,23.9,8,0.4,10.06,0,0,0
ORD_00012,REST_046,fast_food,small,2024-03-20 12:42:00,2024-03-20 13:04:24,2024-03-20 13:06:24,22.4,22.4,1,0.25,2.12,0,1,0
ORD_00013,REST_015,cloud_kitchen,large,2024-01-17 10:01:00,2024-01-17 10:34:28,2024-01-17 10:34:24,29.4,43.9,7,0.35,3.57,0,0,1
ORD_00014,REST_004,cloud_kitchen,large,2024-02-28 02:57:00,2024-02-28 03:25:24,2024-02-28 03:23:24,27.4,28.4,4,0.2,4.75,1,0,0
ORD_00015,REST_043,fast_food,small,2024-05-04 06:34:00,2024-05-04 06:54:18,2024-05-04 06:53:18,18.3,20.3,2,0.1,3.65,0,0,0
ORD_00016,REST_027,cloud_kitchen,medium,2024-02-18 03:06:00,2024-02-18 03:30:31,2024-02-18 03:29:36,21.6,32.3,4,0.2,5.91,0,0,1
ORD_00017,REST_044,casual_dining,large,2024-06-16 20:06:00,2024-06-16 21:01:12,2024-06-16 21:01:00,56.0,69.6,23,1.0,4.02,1,1,1
ORD_00018,REST_009,cloud_kitchen,small,2024-04-18 05:17:00,2024-04-18 05:34:30,2024-04-18 05:39:30,18.5,17.5,1,0.05,3.93,0,0,0
ORD_00019,REST_004,cloud_kitchen,large,2024-06-15 17:53:00,2024-06-15 18:28:43,2024-06-15 18:28:12,33.2,44.4,8,0.4,3.59,1,0,1
ORD_00020,REST_026,fast_food,medium,2024-01-16 05:24:00,2024-01-16 05:55:06,2024-01-16 05:53:06,29.1,31.1,6,0.3,4.59,1,0,0
ORD_00021,REST_019,fast_food,small,2024-04-18 22:46:00,2024-04-18 22:58:12,2024-04-18 23:00:12,12.2,12.2,1,0.05,3.97,0,0,0
ORD_00022,REST_013,cloud_kitchen,large,2024-03-16 06:03:00,2024-03-16 06:28:24,2024-03-16 06:26:24,26.4,25.4,7,0.35,5.26,0,0,0
ORD_00023,REST_004,cloud_kitchen,large,2024-05-29 15:32:00,2024-05-29 16:00:02,2024-05-29 15:59:30,29.5,31.5,7,0.35,3.59,0,0,1
ORD_00024,REST_012,cloud_kitchen,large,2024-01-18 19:04:00,2024-01-18 20:01:44,2024-01-18 20:00:48,53.8,73.4,21,1.0,10.11,0,1,1
ORD_00025,REST_038,cloud_kitchen,large,2024-06-01 01:39:00,2024-06-01 02:13:42,2024-06-01 02:13:42,33.7,34.7,10,0.5,4.76,1,0,0
ORD_00026,REST_014,fast_food,medium,2024-06-20 22:20:00,2024-06-20 22:35:42,2024-06-20 22:33:42,14.7,15.7,2,0.1,1.17,0,0,0
